DATE,Lot Code,Film Manufacturer,PO,Machine,Master Roll 1,Master Roll 2,Weight,Tested By,Lane,Pressure1,Pressure2,Pressure3,Pressure4,Pressure5,Pressure6,PressureAverage,PressureMIN,PressureMAX
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,12,1397.0,1411,1457.0,,,,1421.67,1397,1457
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,1,1457.0,1131,442.0,,,,1010.0,442,1457
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,2,1060.0,1249,1002.0,,,,1103.67,1002,1249
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,3,1104.0,1120,1323.0,,,,1182.33,1104,1323
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,4,788.0,961,1236.0,,,,995.0,788,1236
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,5,1093.0,1021,1233.0,,,,1115.67,1021,1233
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,6,1268.0,1377,1377.0,,,,1340.67,1268,1377
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,7,958.0,1425,733.0,,,,1038.67,733,1425
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,8,640.0,1273,1178.0,,,,1030.33,640,1273
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,9,1126.0,1179,1359.0,,,,1221.33,1126,1359
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,10,1390.0,1021,1347.0,,,,1252.67,1021,1390
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,11,750.0,643,563.0,,,,652.0,563,750
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,3,1082.0,1110,1468.0,,,,1220.0,1082,1468
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,3,1036.0,1463,835.0,,,,1111.33,835,1463
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,12,1172.0,1109,1435.0,,,,1238.67,1109,1435
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,1,1273.0,1214,976.0,,,,1154.33,976,1273
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,2,1477.0,1471,1172.0,,,,1373.33,1172,1477
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,5,1492.0,1444,1444.0,,,,1460.0,1444,1492
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,6,888.0,888,1185.0,,,,987.0,888,1185
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,7,1486.0,1317,963.0,,,,1255.33,963,1486
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,8,1196.0,1047,1442.0,,,,1228.33,1047,1442
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,9,1215.0,1374,1381.0,,,,1323.33,1215,1381
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,10,979.0,597,607.0,,,,727.67,597,979
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,11,1313.0,749,1378.0,,,,1146.67,749,1378
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,12,1166.0,661,492.0,,,,773.0,492,1166
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,1,481.0,1394,1477.0,,,,1117.33,481,1477
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,4,1468.0,1148,1468.0,,,,1361.33,1148,1468
